"source_package","record_id","version","transition_from","chapter","artifact_path","artifact_role","planned_change","reported_result","artifact_evidence","change_class","prior_claim","verification_status","severity","source_lines","dependencies","notes"
"L2_v1019_v1020","L2-008","v1.0.19","v1.0.18.2","code/fitting","Claude/docs/v1.0.19/fit_roundtrip_demo.py; Claude/docs/v1.0.19/_sections/ch2_sec09_method.tex","worked verification and caveat","Close the G-usable gap with a fitting round trip","A synthetic noisy-data round trip was reported PASS, with recovery errors and generated figures","The demo exists and was read in full; the final Chapter 2 explicitly says its numerical agreement is simulation self-consistency and that real-data round-trip fitting remains open","expansion+qualification","Simulation plus round-trip evidence was said to satisfy usability","확정","Medium","Claude/results/process/V1019_EXECUTION_LEDGER.md:35-37; Claude/docs/v1.0.19/fit_roundtrip_demo.py:1-368; Claude/docs/v1.0.19/_sections/ch2_sec09_method.tex:31-40","Claude/docs/v1.0.19/samples/fig_fit_roundtrip.png:entire image","This is synthetic verification, not experimental validation."
"L2_v1019_v1020","L2-009","v1.0.19","v1.0.18.2","Chapter 1","Claude/results/process/V1019_ASSET_CHECKLIST.md","asset-preservation control","Preserve all verified Chapter 1 content while restructuring","Reported 336/336 anchors and zero regression loss","Full old and new sources, the checklist, and all final sections were read; no specific accidental content loss was identified in the assigned transition","preservation","Chapter 1 asset loss was zero","확정","Info","Claude/results/process/V1019_ASSET_CHECKLIST.md:1-392; Claude/results/process/V1019_EXECUTION_LEDGER.md:43-48; Claude/docs/v1.0.18.2/graphite_ica_ch1_v1.0.18.2.tex:1-3544; Claude/docs/v1.0.19/_sections/ch1_*.tex:all files first-to-last","v1.0.18.2 Chapter 1 baseline","Asset IDs establish coverage, not independent scientific correctness."
"L2_v1019_v1020","L2-010","v1.0.19","v1.0.18.2","Chapter 2","Claude/results/process/V1019_CH2_ASSET_CHECKLIST.md","asset-preservation control","Preserve Chapter 2 assets during rewrite","Reported 133/133 assets and no loss, while promoting Einstein material to its own section","Full old and new Chapter 2 sources and the checklist were read; the final 15-file chapter contains the reported structural promotion and no identified accidental loss","preservation+relocation+expansion","Chapter 2 regression loss was zero","확정","Info","Claude/results/process/V1019_CH2_ASSET_CHECKLIST.md:1-183; Claude/results/process/V1019_EXECUTION_LEDGER.md:49-54; Claude/docs/v1.0.18.2/graphite_ica_ch2_v1.0.18.2.tex:1-958; Claude/docs/v1.0.19/_sections/ch2_*.tex:all files first-to-last","v1.0.18.2 Chapter 2 baseline","The explicit CU-1 correction is separately recorded in L2-005."
"L2_v1019_v1020","L2-011","v1.0.19","v1.0.18.2","Chapter 1 §13 LCO","Claude/docs/v1.0.19/_sections/ch1_sec13_lcohys.tex; Claude/docs/v1.0.19/FITTING_GUIDE.md","final caveat/debt","Carry LCO two-phase formulas without inventing unmeasured parameters","LCO Omega values remained unassigned; default Omega=0 disables the hysteresis branch until round-trip fitting","Final TeX and guide state the missing anchors and conditional activation explicitly; code data likewise omit LCO Omega keys","debt+qualification","LCO spinodal and gap formulas were available","미결","High","Claude/docs/v1.0.19/_sections/ch1_sec13_lcohys.tex:27-39; Claude/docs/v1.0.19/FITTING_GUIDE.md:31-33; Claude/docs/v1.0.19/Anode_Fit_v1.0.19.py:867-928","LCO charge/discharge pair and tier-2/3 anchors","Formulas are structural; no empirical LCO gap calibration is established."
"L2_v1019_v1020","L2-012","v1.0.19","v1.0.18.2","Chapter 1 §17 LCO","Claude/docs/v1.0.19/_sections/ch1_sec17_msmr.tex; Claude/docs/v1.0.19/FITTING_GUIDE.md","final approximation/debt","Document the electronic entropy path and model limitations","The implemented electronic contribution remains frozen at x_center and T_ref; T-scaling, T-squared center integration, and convergence checking were deferred","Final source and guide disclose the frozen approximation and future multi-temperature restoration","debt+qualification","The electronic term was integrated into the LCO narrative","미결","High","Claude/docs/v1.0.19/_sections/ch1_sec17_msmr.tex:100-116; Claude/docs/v1.0.19/FITTING_GUIDE.md:68","multi-temperature LCO data; future code restoration","This is an explicit approximation, not a verified multi-temperature implementation."
"L2_v1019_v1020","L2-013","v1.0.19","v1.0.18.2","Chapter 2 §2.9","Claude/docs/v1.0.19/_sections/ch2_sec09_method.tex","final limitations","State experimental and model boundaries","Five open items were retained: real-data round trip, hysteresis uncertainty, Omega(T), LCO electronic exception, and full-cell synthesis","The final section lists all five without closure language","debt","Chapter 2 was presented as complete after rewrite","미결","Medium","Claude/docs/v1.0.19/_sections/ch2_sec09_method.tex:31-40","experimental datasets and later full-cell work","Completion means document-cycle completion, not closure of these scientific gaps."
"L2_v1019_v1020","L2-014","v1.0.19","v1.0.18.2","code/heat","Claude/docs/v1.0.19/Anode_Fit_v1.0.19.py","final code/debt","Implement reversible-heat outputs while preserving existing behavior","reversible_heat and reversible_heat_x were available, but total irreversible heat remained a single lumped I^2R term","The final function irreversible_heat returns only I^2 R; the handover explicitly defers three-part q_irr","debt","Heat functionality was described as implemented","미결","Medium","Claude/docs/v1.0.19/Anode_Fit_v1.0.19.py:790-840; Claude/docs/v1.0.19/HANDOVER_v1.0.19.md:34-35","future q_irr decomposition","Reversible heat is implemented; the more detailed irreversible decomposition is not."
"L2_v1019_v1020","L2-015","v1.0.19","v1.0.18.2","Chapter 3","Claude/docs/v1.0.19/graphite_ica_ch1_v1.0.19.tex; Claude/docs/v1.0.19/graphite_ica_ch2_v1.0.19.tex","chapter topology","Track whether Chapter 3 existed or was deferred","No Chapter 3 artifact exists in v1.0.19; the release consists of Chapters 1 and 2 plus a separate appendix","Complete version-local inventory and both masters contain no Chapter 3 input or master","no_change","A Chapter 3 might have been part of the lineage","확정","Info","Claude/docs/v1.0.19/graphite_ica_ch1_v1.0.19.tex:1-43; Claude/docs/v1.0.19/graphite_ica_ch2_v1.0.19.tex:1-37; Claude/docs/v1.0.19/HANDOVER_v1.0.19.md:1-38","older out-of-scope Chapter 3 planning history","No scientific-content inference is made from older plan filenames outside this release."
"L2_v1019_v1020","L2-016","v1.0.19","v1.0.18.2","cross-cutting","Claude/docs/v1.0.19/HANDOVER_v1.0.19.md","handover","Describe the final release state","The handover body says code revision completed, but its title still says document-only and code excluded","The contradiction is visible within the same 38-line handover","stale_metadata","v1.0.19 was doc-only / code excluded","확정","Low","Claude/docs/v1.0.19/HANDOVER_v1.0.19.md:1,26-35","Claude/results/process/V1019_EXECUTION_LEDGER.md:23-40","Body and final code supersede the stale title."
"L2_v1019_v1020","L2-017","v1.0.19","v1.0.18.2","appendix/assets","Claude/docs/v1.0.19/appendix_phase_separation.tex; Claude/docs/v1.0.19/figs/anode_fit_v1_0_14_dqdv.png","inherited artifact","Inherit the appendix and existing figures","Appendix content was carried forward and final PDFs built; historical version labels remained in the appendix and one legacy image title","The appendix source retains draft/version history text; the PNG was visually inspected and bears an older visible version title","no_change+stale_metadata","Inherited artifacts were treated as complete","확정","Low","Claude/docs/v1.0.19/appendix_phase_separation.tex:1-10,39,493-497; Claude/docs/v1.0.19/figs/anode_fit_v1_0_14_dqdv.png:entire image","v1.0.18.2 appendix and figures","This is provenance debt, not evidence of scientific loss."
"L2_v1019_v1020","L2-018","v1.0.19","v1.0.18.2","final artifacts","Claude/docs/v1.0.19/*.pdf","rendered output","Produce final Chapter 1, Chapter 2, and appendix PDFs","Three PDFs were reported built","All pages were read: Chapter 1 pages 1-62, Chapter 2 pages 1-25, appendix pages 1-8; content corresponding to the final sources was present","rendered_output","Build GREEN and final PDFs exist","확정","Info","Claude/docs/v1.0.19/graphite_ica_ch1_v1.0.19.pdf:pages 1-62; Claude/docs/v1.0.19/graphite_ica_ch2_v1.0.19.pdf:pages 1-25; Claude/docs/v1.0.19/appendix_phase_separation.pdf:pages 1-8","v1.0.19 final TeX sources","Rendering confirms artifact presence and coverage, not scientific correctness."
"L2_v1019_v1020","L2-019","v1.0.19","v1.0.18.2","tests/code","Claude/docs/v1.0.19/test_regression_v1019.py; Claude/docs/v1.0.19/golden_graphite_ref.npz","regression gate","Preserve inherited graphite numerical behavior while adding APIs","13/13 bit-exact regression was reported","The harness was executed read-only in this audit and returned 13/13 PASS; all 13 NPZ arrays were fully enumerated and matched the v1.0.18.2 golden artifact","verification","Regression PASS implies no tested numerical change","확정","Info","Claude/docs/v1.0.19/test_regression_v1019.py:1-127; Claude/docs/v1.0.19/golden_graphite_ref.npz:all 13 arrays","Claude/docs/v1.0.18.2/golden_graphite_ref.npz:all 13 arrays","PASS applies only to the tested implementation outputs and is not scientific validation."
"L2_v1019_v1020","L2-020","v1.0.20","v1.0.19","cross-cutting","Claude/docs/v1.0.20/plans/2026-07-16-v1020-master-plan.md","master plan","Create a non-destructive quality expansion with fixed equations, numbers, parameters, and code behavior","P0-P6 followed that quality-uplift frame; the plan also allowed logged error correction","The plan defines four documentation axes, asset preservation, fixed code behavior, and the D11-prime correction exception","non_destructive_expansion","v1.0.20 would preserve v1.0.19 physics and code","확정","Info","Claude/docs/v1.0.20/plans/2026-07-16-v1020-master-plan.md:35-65,68-98,161-180","v1.0.19 final artifacts","The phrase physical errors 0 in planning is a control target, not proof."
"L2_v1019_v1020","L2-021","v1.0.20","v1.0.19","cross-cutting","Claude/docs/v1.0.20/plans/2026-07-16-v1020-master-plan.md","scope history","Keep code to a matched header bump and keep expansion within v1.0.20","P7 expanded to code implementation review, interchapter/direction studies, and figure competitions; v5 then moved all substantive extensions to v1.0.21 and froze v1.0.20 to quality corrections","The correction history records both the expansion and later version split","scope_reversal+supersession","P8 would only bump headers and all extensions belonged to v1.0.20","확정","High","Claude/docs/v1.0.20/plans/2026-07-16-v1020-master-plan.md:84-98,143-150,200-207","Claude/plans/2026-07-16-v1021-master-plan.md:dependency only","The split is the controlling final scope."
"L2_v1019_v1020","L2-022","v1.0.20","v1.0.19","references","Claude/docs/v1.0.20/results/RESULT_P1_references.md","reference audit result","Verify existing references, correct fields, and admit only V1 keys","Reported 42 judgments, including 2 FAIL and 3 V2, with 8 bibliography corrections","Result, drafts, ledger, and final bibliography fields were read; correction presence is confirmed, but external source accuracy was not independently re-browsed in this read-only snapshot audit","correction","The reference ledger closed bibliographic integrity","미검증","Medium","Claude/docs/v1.0.20/results/RESULT_P1_references.md:3-38; Claude/docs/v1.0.20/results/V1020_REFERENCE_LEDGER.md:1-54; Claude/docs/v1.0.20/_sections/ch1_bib.tex:1-45; Claude/docs/v1.0.20/_sections/ch2_bib.tex:1-27","external DOI/publisher records","Presence and internal consistency are confirmed; scientific and bibliographic truth remains externally unverified here."
"L2_v1019_v1020","L2-023","v1.0.20","v1.0.19","Chapter 1 §2","Claude/docs/v1.0.20/_sections/ch1_sec02a_part0.tex","final TeX","Expose a bare two-state derivation before q(T), add fermion/boson background, and preserve prior formulas","P2 reported three new bare-equation labels with prior equations unchanged","Final source contains eq:sm-baresum, eq:sm-baremid, and eq:sm-bare; snapshot progression adds exactly those three labels at P2","expansion","D7/F-1/F-2 gaps were closed without deleting prior equations","확정","Info","Claude/docs/v1.0.20/results/RESULT_P2_part0.md:3-33; Claude/docs/v1.0.20/_sections/ch1_sec02a_part0.tex:126-166; Claude/docs/v1.0.20/results/snapshot_v1020_p2.json:1-1139","comp_P2_part0 drafts and pick judgment","P2 is additive/reordered, not a replacement of the existing q(T) final chain."
"L2_v1019_v1020","L2-024","v1.0.20","v1.0.19","Chapter 1 §§3-10","Claude/docs/v1.0.20/results/RESULT_P3_graphite.md","phase result","Add concept and citation bridges, including a proposed KWW citation","KWW was rejected after full reading because the implemented kernel is exponential; no KWW equation or citation was inserted","Final affected sections contain the other bridges; snapshots show no equation changes in P3","reversal+no_change","KWW would be introduced under D8","확정","Info","Claude/docs/v1.0.20/results/RESULT_P3_graphite.md:3-34; Claude/docs/v1.0.20/results/snapshot_v1020_p3.json:1-1140","Claude/docs/v1.0.20/plans/PLAN_P3_graphite.md:1-44","The rejection avoids unsupported concept attribution."
"L2_v1019_v1020","L2-025","v1.0.20","v1.0.19","Chapter 1 §§11-17","Claude/docs/v1.0.20/_sections/ch1_sec15_lcoelec.tex","final TeX","Compress LCO prose and add equation-driven MIT/order-disorder/MSMR background","P4 added a MIT background and six references; it rejected prose compression as unnecessary and reported zero equation changes","Final source expands the MIT background; P4 snapshot adds bibliography entries without equation changes","expansion+rejected_compression","LCO needed major equation-chain and prose compression work","확정","Info","Claude/docs/v1.0.20/results/RESULT_P4_lco.md:3-39; Claude/docs/v1.0.20/_sections/ch1_sec15_lcoelec.tex:23-63; Claude/docs/v1.0.20/results/snapshot_v1020_p4.json:1-1146","comp_P4_mitbg drafts and pick judgment","F2 timeout is documented; five other drafts completed."
"L2_v1019_v1020","L2-026","v1.0.20","v1.0.19","Chapter 2","Claude/docs/v1.0.20/results/RESULT_P5_ch2.md","phase result","Rework FD/BE derivations and Chapter 2 bridges if needed","Full reading found no D7 violation; edits were limited to citations, cross-links, and an inline vibrational derivation bridge, with no displayed equation or label changes","Final Chapter 2 and snapshot confirm the narrow additive result","expansion+no_change","Chapter 2 required a larger derivation rewrite","확정","Info","Claude/docs/v1.0.20/results/RESULT_P5_ch2.md:3-38; Claude/docs/v1.0.20/_sections/ch2_sec03_vibel.tex:1-102; Claude/docs/v1.0.20/results/snapshot_v1020_p5.json:1-1148","v1.0.19 Chapter 2","Plan was narrowed by evidence rather than silently skipped."
"L2_v1019_v1020","L2-027","v1.0.20","v1.0.19","appendix/conventions","Claude/docs/v1.0.20/appendix_phase_separation.tex","final TeX","Apply surface convention cleanup only","P6 changed eight compound-word spellings; P7 corrected the appendix self-description from 3-4 to 2-3 steps and Chapter references 17-18 to 18-19","Machine diff and final source confirm these limited edits","compression+correction","Appendix physics content would remain unchanged","확정","Low","Claude/docs/v1.0.20/results/RESULT_P6_convention.md:3-37; Claude/docs/v1.0.20/appendix_phase_separation.tex:1-10,393-398,493-497; Claude/docs/v1.0.20/results/V1020_CHANGE_LOG.md:33","v1.0.19 appendix","The 2-3 wording is a corrected description of existing subsections, not scientific compression."
"L2_v1019_v1020","L2-028","v1.0.20","v1.0.19","Chapter 2 introduction","Claude/docs/v1.0.20/_sections/ch2_sec00_intro.tex","ERRATA closure","Resolve P7 review findings","E-001 corrected the claim that constant transition entropies cannot produce a sign reversal","Final lines distinguish boundary peaks/grooves from a step-like sign crossing and remove the undefined phrase","correction","P7 closed the first ERRATA with no code impact","확정","Medium","Claude/docs/v1.0.20/results/V1020_CHANGE_LOG.md:34; Claude/docs/v1.0.20/results/RESULT_P7_review.md:3-32; Claude/docs/v1.0.20/_sections/ch2_sec00_intro.tex:17-22","P7 C2F3 and F1 reviews","This closure is verified textually; no claim is made that all physical assertions in the paragraph are experimentally validated."
